,QuestionId_Answer,ConstructName,SubjectName,QuestionText,CorrectAnswer,IncorrectAnswer,MisconceptionName,Cluster
0,0_D,Use the order of operations to carry out calculations involving powers,BIDMAS,"\[
3 \times 2+4-5
\]
Where do the brackets need to go to make the answer equal \( 13 \) ?",\( 3 \times(2+4)-5 \),Does not need brackets,"Confuses the order of operations, believes addition comes before multiplication ",109
1,1_A,Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",Does not simplify,\( m+1 \),"Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
",87
2,1_B,Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",Does not simplify,\( m+2 \),"Thinks that when you cancel identical terms from the numerator and denominator, they just disappear",87
3,1_C,Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",Does not simplify,\( m-1 \),"Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
",87
4,2_A,Calculate the range from a list of data,Range and Interquartile Range from a List of Data,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?","Only
Katie","Only
Tom",Believes if you changed all values by the same proportion the range would not change,67
5,2_C,Calculate the range from a list of data,Range and Interquartile Range from a List of Data,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?","Only
Katie",Both Tom and Katie,Believes if you changed all values by the same proportion the range would not change,67
6,2_D,Calculate the range from a list of data,Range and Interquartile Range from a List of Data,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?","Only
Katie",Neither is correct,Believes if you add the same value to all numbers in the dataset the range will change,67
7,3_A,Recall and use the intersecting diagonals properties of a rectangle,Properties of Quadrilaterals,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),\( 90^{\circ} \),acute,Does not know the properties of a rectangle,63
8,3_B,Recall and use the intersecting diagonals properties of a rectangle,Properties of Quadrilaterals,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),\( 90^{\circ} \),obtuse,Does not know the properties of a rectangle,63
9,3_D,Recall and use the intersecting diagonals properties of a rectangle,Properties of Quadrilaterals,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),\( 90^{\circ} \),Not enough information,Does not know the properties of a rectangle,63
