,MisconceptionId,MisconceptionName,Cluster
0,0,Does not know that angles in a triangle sum to 180 degrees,49
1,1,Uses dividing fractions method for multiplying fractions,61
2,2,Believes there are 100 degrees in a full turn,3
3,3,"Thinks a quadratic without a non variable term, can not be factorised",87
4,4,Believes addition of terms and powers of terms are equivalent e.g. a + c = a^c,18
5,5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead",98
6,6,Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator,91
7,7,Believes gradient = change in y,28
8,8,Student thinks that any two angles along a straight line are equal,66
9,9,Thinks there are 180 degrees in a full turn,70
10,10,"Believes duration can be read from a timetable, rather than calculating from start and end times",43
11,11,"When reading value from graph, reads from the wrong axes.",71
12,12,Thinks that the side view does not include the furthest rows back,82
13,13,"Does not subtract from the hours, when having to borrow for a time calculation",43
14,14,Does not understand how to create a multiple of an equation,52
15,15,"Confuses the order of operations, believes addition comes before division",109
16,16,Believes that graphs of inverse proportion meet the axes,65
17,17,Confuses AM and PM when calculating time,43
18,18,"Given the length of the sides, still does not recognise there is enough information to find the area",108
19,19,"When multiplying a surd by an integer, adds the integer to the number under the surd",50
20,20,Believes the number of wholes in a mixed number multiplies by the fraction part,23
21,21,Estimates shares of a ratio instead of calculating,25
22,22,Confuses the ten thousands and thousands place value columns,85
23,23,Does not understand the command word 'difference',89
24,24,Does not understand the term multiple,5
25,25,Does not realise that when you multiply by 0 the answer will always be 0,6
26,26,Thinks x = ? or y = ? is y = x,71
27,27,Believes squaring a fraction requires you to double both parts,113
28,28,Thinks the interior angles of any polygon add up to 360,44
29,29,Forgot to simplify the fraction,91
30,30,"When asked for a number n times smaller or bigger, subtracts or adds n",35
31,31,Does not understand bar modelling in algebra,92
32,32,"When squaring a variable, believes they also need to square the coefficient",1
33,33,Uses more than 3 letters to describe an angle,110
34,34,Believes dividing a negative by a positive gives a positive answer,59
35,35,Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles,44
36,36,Enlarges by the wrong centre of enlargement,34
37,37,Rounded to wrong degree of accuracy (2sf not 1sf),102
38,38,Believes the sides of an inequality can be switched without changing the direction of the sign,12
39,39,Multiplies by 1000 instead of 100 when converting a decimal to a percentage,20
40,40,Believes midpoint multiplied by frequency is equivalent to frequency density,75
41,41,Believes the mean is the number of categories given divided by something,29
42,42,Believes that the complement of a set includes any elements which are also in another set.,86
43,43,Confuses the terms edges and vertices,10
44,44,"When adding or subtracting surds, just adds or subtracts the numbers under the surd rather than first trying to simplifying to find like surds",50
45,45,"When asked for the value of a digit, gives an answer 10 times too big",9
46,46,Does not realise that division can be broken down into factors,27
47,47,Believes y=-f(x) is a reflection in y=x,88
48,48,Thinks corresponding angles sum to 360 degrees,70
49,49,Doesn't believe that when you divide by 0 the answer will always be 0,27
50,50,"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction",11
51,51,Does not use angle facts when setting up an equation from an angle diagram,63
52,52,When asked for a specific term in a sequence gives the term before,103
53,53,Thinks circumference is radius x pi,58
54,54,Believes the arrow on a number line points to the middle value,72
55,55,"When subtracting a negative number from a positive number, uses a method which assumes one of the negative signs can be ignored ",78
56,56,Assumes a negative number is not rational,99
57,57,Believes the solution to mx + c = a is the x intercept of y = mx +c,77
58,58,"When dividing, confuses the remainder with the quotient",27
59,59,Cannot identify a common factor when simplifying algebraic fractions,87
60,60,"Has written the value of the 'ones' column as the answer, withiut using the numbers in the question.",85
61,61,Multiplies by 10 instead of 100 when converting decimal to percentage,20
62,62,Does not realise that a curved line represents a changing gradient,28
63,63,Believes 'data' and 'sample' are interchangeable,14
64,64,Mixes up squaring and multiplying by 4,113
65,65,Cannot spot a variable within a written scenario,97
66,66,Repeats the digits three times when cubing a number,68
67,67,Divides by 1000 instead of 100 when converting a decimal to a percentage,20
68,68,Confuses a term with an equation,42
69,69,"When given a non-unit fraction of an amount, treats it like a unit fraction",11
70,70,"When reading a composite bar chart, just reads total height of bar",17
71,71,Multiplies all given dimensions when calculating an area,108
72,72,Thinks a decimal can be written as a fraction by just writing it under a numerator of 1,36
73,73,Confuses a function with an expression,42
74,74,Believes they must expand brackets before solving an equation,64
75,75,Believes that the directions of positive and negative vectors are the opposite way around.,0
76,76,Confuses quadratic and exponential graphs,37
77,77,"Does not follow the arrows through a function machine, changes the order of the operations asked.",109
78,78,"When multiplying a fraction by an integer, multiplies the denominator instead of the numerator",61
79,79,Does not understand how to divide algebraic terms,52
80,80,Thinks you can ignore the variable when simplifying algebraic fractions,87
